Year,Country,Variable name,Variable total,Variable per capita,Unit total,Unit per capita,Historical
2008,Denmark,cement production,2.494,4.5545931172318304e-07,Mt,Mt / capita,1
2009,Denmark,cement production,1.575,2.8576866600102224e-07,Mt,Mt / capita,1
2010,Denmark,cement production,1.5529999999999995,2.805914209489229e-07,Mt,Mt / capita,1
2011,Denmark,cement production,1.811,3.2568263872353986e-07,Mt,Mt / capita,1
2012,Denmark,cement production,1.7980000000000007,3.221924280837114e-07,Mt,Mt / capita,1
2013,Denmark,cement production,1.8300000000000003,3.2663243035232757e-07,Mt,Mt / capita,1
2014,Denmark,cement production,1.876,3.333786486613763e-07,Mt,Mt / capita,1
2015,Denmark,cement production,2.212342896829941,3.9089298610087983e-07,Mt,Mt / capita,1
2020,Denmark,cement production,2.262939124634181,3.914313704677033e-07,Mt,Mt / capita,1
2025,Denmark,cement production,2.118635551896164,3.528124321649654e-07,Mt,Mt / capita,1
2030,Denmark,cement production,1.8378111684721845,2.9584666657412584e-07,Mt,Mt / capita,1
2035,Denmark,cement production,1.5733860818268135,2.465783079104387e-07,Mt,Mt / capita,1
2040,Denmark,cement production,1.5106471578135514,2.3221056271070438e-07,Mt,Mt / capita,1
2045,Denmark,cement production,1.471775180471952,2.2329831843639612e-07,Mt,Mt / capita,1
2050,Denmark,cement production,1.4249080139485106,2.1440730241983975e-07,Mt,Mt / capita,1
1990,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
1991,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
1992,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
1993,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
1994,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
1995,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
1996,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
1997,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
1998,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
1999,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
2000,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
2001,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
2002,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
2003,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
2004,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
2005,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
2006,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
2007,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
2008,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
2009,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
2010,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
2011,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
2012,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
2013,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
2014,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
2015,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
2020,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
2025,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
2030,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
2035,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
2040,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
2045,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
2050,Denmark,steel production,0.0,0.0,Mt,Mt / capita,1
1990,Estonia,final energy demand,18.791770977633476,1.1964715995383594e-05,TWh,TWh / capita,1
1991,Estonia,final energy demand,18.87044016972854,1.2036646280577145e-05,TWh,TWh / capita,1
1992,Estonia,final energy demand,18.153799841138408,1.1675385362156007e-05,TWh,TWh / capita,1
1993,Estonia,final energy demand,17.98997621444195,1.190361973372775e-05,TWh,TWh / capita,1
1994,Estonia,final energy demand,18.63467979308684,1.261698402729868e-05,TWh,TWh / capita,1
1995,Estonia,final energy demand,18.586254277950268,1.2835146161594024e-05,TWh,TWh / capita,1
1996,Estonia,final energy demand,21.097542715612732,1.4803298584059364e-05,TWh,TWh / capita,1
1997,Estonia,final energy demand,21.363797136504054,1.5194778033866422e-05,TWh,TWh / capita,1
1998,Estonia,final energy demand,20.232474776557858,1.4523618111139722e-05,TWh,TWh / capita,1
1999,Estonia,final energy demand,19.841959175511725,1.438618538765399e-05,TWh,TWh / capita,1
2000,Estonia,final energy demand,19.775461598343234,1.4112729062153959e-05,TWh,TWh / capita,1
2001,Estonia,final energy demand,22.547485110920476,1.61895320745882e-05,TWh,TWh / capita,1
2002,Estonia,final energy demand,22.005701149271523,1.5905704439629294e-05,TWh,TWh / capita,1
2003,Estonia,final energy demand,23.675922268799653,1.7216473555508442e-05,TWh,TWh / capita,1
2004,Estonia,final energy demand,24.14874927354751,1.7675205323731022e-05,TWh,TWh / capita,1
2005,Estonia,final energy demand,24.54276347158321,1.806142213753042e-05,TWh,TWh / capita,1
2006,Estonia,final energy demand,24.591922663647658,1.820679844795118e-05,TWh,TWh / capita,1
2007,Estonia,final energy demand,27.341775748268283,2.035994381517014e-05,TWh,TWh / capita,1
2008,Estonia,final energy demand,27.05300055103897,2.0212337161948963e-05,TWh,TWh / capita,1
2009,Estonia,final energy demand,23.380975399800377,1.7504136583317393e-05,TWh,TWh / capita,1
2010,Estonia,final energy demand,24.56996568658657,1.8428073177318192e-05,TWh,TWh / capita,1
2011,Estonia,final energy demand,24.39984483261788,1.8350439084140217e-05,TWh,TWh / capita,1
2012,Estonia,final energy demand,24.734674719039628,1.866462226113884e-05,TWh,TWh / capita,1
2013,Estonia,final energy demand,25.19459362380247,1.9084297693942213e-05,TWh,TWh / capita,1
2014,Estonia,final energy demand,24.73706654366766,1.879974870682644e-05,TWh,TWh / capita,1
2015,Estonia,final energy demand,25.63056124424795,1.9492848147914205e-05,TWh,TWh / capita,1
2020,Estonia,final energy demand,26.40843703852299,2.0019540894301773e-05,TWh,TWh / capita,1
2025,Estonia,final energy demand,23.493313466107374,1.7823578171400393e-05,TWh,TWh / capita,1
2030,Estonia,final energy demand,20.540787743640323,1.567410794448078e-05,TWh,TWh / capita,1
2035,Estonia,final energy demand,17.09568976237355,1.3158207010111193e-05,TWh,TWh / capita,1
2040,Estonia,final energy demand,14.659525556942757,1.1377006200127449e-05,TWh,TWh / capita,1
2045,Estonia,final energy demand,13.311907325110177,1.0425053880816439e-05,TWh,TWh / capita,1
2050,Estonia,final energy demand,12.152456918518507,9.625091101834376e-06,TWh,TWh / capita,1
1990,Estonia,final energy demand industry,6.500304427323957,4.138742242497262e-06,TWh,TWh / capita,1
1991,Estonia,final energy demand industry,6.500304427323957,4.146266033225955e-06,TWh,TWh / capita,1
1992,Estonia,final energy demand industry,6.500304427323957,4.180588076571897e-06,TWh,TWh / capita,1
1993,Estonia,final energy demand industry,6.500304427323957,4.301125867760441e-06,TWh,TWh / capita,1
1994,Estonia,final energy demand industry,6.500304427323957,4.401161599919264e-06,TWh,TWh / capita,1
1995,Estonia,final energy demand industry,6.500304427323957,4.48892800947738e-06,TWh,TWh / capita,1
1996,Estonia,final energy demand industry,6.500304427323957,4.561002606893638e-06,TWh,TWh / capita,1
1997,Estonia,final energy demand industry,6.500304427323959,4.623273769857069e-06,TWh,TWh / capita,1
1998,Estonia,final energy demand industry,6.500304427323957,4.666158744850566e-06,TWh,TWh / capita,1
1999,Estonia,final energy demand industry,6.500304427323959,4.712971322059921e-06,TWh,TWh / capita,1
2000,Estonia,final energy demand industry,6.500304427323957,4.638932686761076e-06,TWh,TWh / capita,1
2001,Estonia,final energy demand industry,7.2583932215,5.211667256519617e-06,TWh,TWh / capita,1
2002,Estonia,final energy demand industry,6.5299364251999945,4.71983319614603e-06,TWh,TWh / capita,1
2003,Estonia,final energy demand industry,7.713933808699999,5.609358567688828e-06,TWh,TWh / capita,1
2004,Estonia,final energy demand industry,7.707075713999998,5.641043523513265e-06,TWh,TWh / capita,1
2005,Estonia,final energy demand industry,8.029596063281502,5.9091114275170195e-06,TWh,TWh / capita,1
2006,Estonia,final energy demand industry,7.683710113600002,5.688687431405939e-06,TWh,TWh / capita,1
2007,Estonia,final energy demand industry,8.674013103500002,6.459069120647545e-06,TWh,TWh / capita,1
2008,Estonia,final energy demand industry,8.520913806399996,6.366302416544631e-06,TWh,TWh / capita,1
2009,Estonia,final energy demand industry,5.804442705099999,4.3454884222228864e-06,TWh,TWh / capita,1
2010,Estonia,final energy demand industry,6.177888359924273,4.633566860866183e-06,TWh,TWh / capita,1
2011,Estonia,final energy demand industry,6.631294055444201,4.987210305976115e-06,TWh,TWh / capita,1
2012,Estonia,final energy demand industry,6.2926470585067,4.7483899304843654e-06,TWh,TWh / capita,1
2013,Estonia,final energy demand industry,7.3213192371614175,5.545722940431653e-06,TWh,TWh / capita,1
2014,Estonia,final energy demand industry,6.10533338472446,4.639949251929377e-06,TWh,TWh / capita,1
2015,Estonia,final energy demand industry,7.074875633195456,5.3806654902731495e-06,TWh,TWh / capita,1
2020,Estonia,final energy demand industry,7.036895924251191,5.334485547894859e-06,TWh,TWh / capita,1
2025,Estonia,final energy demand industry,6.6795005688960885,5.067509983527188e-06,TWh,TWh / capita,1
2030,Estonia,final energy demand industry,6.305188830734062,4.8113154946483805e-06,TWh,TWh / capita,1
2035,Estonia,final energy demand industry,5.602469479266357,4.312107566333234e-06,TWh,TWh / capita,1
2040,Estonia,final energy demand industry,4.85668297480225,3.7691883070670087e-06,TWh,TWh / capita,1
2045,Estonia,final energy demand industry,4.54401786548381,3.5585908109279263e-06,TWh,TWh / capita,1
2050,Estonia,final energy demand industry,4.3443687175861605,3.4408634375001588e-06,TWh,TWh / capita,1
1990,Estonia,living space,41796707.73238184,26.6119536128457,m2,m2 / capita,1
1991,Estonia,living space,41720863.66458523,26.6119536128457,m2,m2 / capita,1
1992,Estonia,living space,41378341.2096343,26.6119536128457,m2,m2 / capita,1
1993,Estonia,living space,40218725.330954544,26.6119536128457,m2,m2 / capita,1
1994,Estonia,living space,39304578.11239968,26.6119536128457,m2,m2 / capita,1
1995,Estonia,living space,38536104.72792154,26.6119536128457,m2,m2 / capita,1
1996,Estonia,living space,37927143.39339879,26.6119536128457,m2,m2 / capita,1
1997,Estonia,living space,37416300.3318466,26.6119536128457,m2,m2 / capita,1
1998,Estonia,living space,37072420.66726141,26.6119536128457,m2,m2 / capita,1
1999,Estonia,living space,36704191.065120466,26.6119536128457,m2,m2 / capita,1
2000,Estonia,living space,37290000.00000004,26.6119536128457,m2,m2 / capita,1
2001,Estonia,living space,37360000.00000005,26.8252053535528,m2,m2 / capita,1
2002,Estonia,living space,37430000.00000003,27.0543761881013,m2,m2 / capita,1
2003,Estonia,living space,37539999.99999999,27.2980460881769,m2,m2 / capita,1
2004,Estonia,living space,37760000.000000015,27.6376944190302,m2,m2 / capita,1
2005,Estonia,living space,38069999.999999985,28.0163373440777,m2,m2 / capita,1
2006,Estonia,living space,38370000.000000045,28.4074924113423,m2,m2 / capita,1
2007,Estonia,living space,38740000.00000006,28.8475858576833,m2,m2 / capita,1
2008,Estonia,living space,39289999.99999997,29.3550700815875,m2,m2 / capita,1
2009,Estonia,living space,39809999.99999993,29.8037043137137,m2,m2 / capita,1
2010,Estonia,living space,40070000.00000002,30.053476737994,m2,m2 / capita,1
2011,Estonia,living space,40340000.00000002,30.3385827956019,m2,m2 / capita,1
2012,Estonia,living space,40649999.999999985,30.6742216557741,m2,m2 / capita,1
2013,Estonia,living space,41009999.99999993,31.0640870067127,m2,m2 / capita,1
2014,Estonia,living space,41370000.00000004,31.440494475304,m2,m2 / capita,1
2015,Estonia,living space,41835089.858969614,31.8169019438953,m2,m2 / capita,1
2020,Estonia,living space,43937818.627872586,33.308103601284,m2,m2 / capita,1
2025,Estonia,living space,42352807.929647885,32.13163541198269,m2,m2 / capita,1
2030,Estonia,living space,40303860.50050381,30.7547630572144,m2,m2 / capita,1
2035,Estonia,living space,38009344.465740405,29.255024497437898,m2,m2 / capita,1
2040,Estonia,living space,35661549.428523675,27.6763164932248,m2,m2 / capita,1
2045,Estonia,living space,33268150.298412856,26.0535361992676,m2,m2 / capita,1
2050,Estonia,living space,30808580.403779592,24.401270878211697,m2,m2 / capita,1
1990,Estonia,floor area in commercial and public buildings,12380.0,0.007882342978697936,1000m2,1000m2 / capita,1
1991,Estonia,floor area in commercial and public buildings,12380.0,0.007896672235160093,1000m2,1000m2 / capita,1
1992,Estonia,floor area in commercial and public buildings,12380.0,0.007962039465475747,1000m2,1000m2 / capita,1
1993,Estonia,floor area in commercial and public buildings,12380.0,0.008191606845218993,1000m2,1000m2 / capita,1
1994,Estonia,floor area in commercial and public buildings,12380.0,0.008382127516669466,1000m2,1000m2 / capita,1
1995,Estonia,floor area in commercial and public buildings,12380.0,0.008549280941940162,1000m2,1000m2 / capita,1
1996,Estonia,floor area in commercial and public buildings,12380.0,0.008686548900078025,1000m2,1000m2 / capita,1
1997,Estonia,floor area in commercial and public buildings,12380.0,0.008805145960585948,1000m2,1000m2 / capita,1
1998,Estonia,floor area in commercial and public buildings,12380.0,0.00888682151845487,1000m2,1000m2 / capita,1
1999,Estonia,floor area in commercial and public buildings,12380.0,0.008975977297592799,1000m2,1000m2 / capita,1
2000,Estonia,floor area in commercial and public buildings,12380.0,0.008834968777876895,1000m2,1000m2 / capita,1
2001,Estonia,floor area in commercial and public buildings,12380.0,0.008889080360732955,1000m2,1000m2 / capita,1
2002,Estonia,floor area in commercial and public buildings,12380.0,0.008948254801194065,1000m2,1000m2 / capita,1
2003,Estonia,floor area in commercial and public buildings,12380.0,0.009002392396687004,1000m2,1000m2 / capita,1
2004,Estonia,floor area in commercial and public buildings,12380.0,0.009061299176578224,1000m2,1000m2 / capita,1
2005,Estonia,floor area in commercial and public buildings,12380.0,0.00911064503072451,1000m2,1000m2 / capita,1
2006,Estonia,floor area in commercial and public buildings,12380.0,0.009165617827792997,1000m2,1000m2 / capita,1
2007,Estonia,floor area in commercial and public buildings,12380.0,0.009218717421737705,1000m2,1000m2 / capita,1
2008,Estonia,floor area in commercial and public buildings,12380.0,0.009249574131077971,1000m2,1000m2 / capita,1
2009,Estonia,floor area in commercial and public buildings,12380.0,0.009268270771257879,1000m2,1000m2 / capita,1
2010,Estonia,floor area in commercial and public buildings,12380.0,0.0092853017723076,1000m2,1000m2 / capita,1
2011,Estonia,floor area in commercial and public buildings,12380.0,0.009310650843072666,1000m2,1000m2 / capita,1
2012,Estonia,floor area in commercial and public buildings,12480.0,0.009417325615352051,1000m2,1000m2 / capita,1
2013,Estonia,floor area in commercial and public buildings,12480.0,0.009453299337814561,1000m2,1000m2 / capita,1
2014,Estonia,floor area in commercial and public buildings,12480.0,0.009484587165863999,1000m2,1000m2 / capita,1
2015,Estonia,floor area in commercial and public buildings,12480.0,0.009491432613110041,1000m2,1000m2 / capita,1
2020,Estonia,floor area in commercial and public buildings,12480.0,0.009460759453368231,1000m2,1000m2 / capita,1
2025,Estonia,floor area in commercial and public buildings,12480.0,0.009468151689202012,1000m2,1000m2 / capita,1
2030,Estonia,floor area in commercial and public buildings,12480.0,0.009523143395884816,1000m2,1000m2 / capita,1
2035,Estonia,floor area in commercial and public buildings,12480.0,0.00960560385504962,1000m2,1000m2 / capita,1
2040,Estonia,floor area in commercial and public buildings,12480.0,0.009685513820080377,1000m2,1000m2 / capita,1
2045,Estonia,floor area in commercial and public buildings,12480.0,0.009773556054373474,1000m2,1000m2 / capita,1
2050,Estonia,floor area in commercial and public buildings,12480.0,0.009884514527086828,1000m2,1000m2 / capita,1
1990,Estonia,average distance travelled,3738175587.501444,2380.09548427157,pkm,pkm / capita,1
1991,Estonia,average distance travelled,3731392315.3712697,2380.09548427157,pkm,pkm / capita,1
1992,Estonia,average distance travelled,3700758106.3932104,2380.09548427157,pkm,pkm / capita,1
1993,Estonia,average distance travelled,3597045445.6660767,2380.09548427157,pkm,pkm / capita,1
1994,Estonia,average distance travelled,3515286785.685864,2380.09548427157,pkm,pkm / capita,1
1995,Estonia,average distance travelled,3446556768.386554,2380.09548427157,pkm,pkm / capita,1
1996,Estonia,average distance travelled,4032831045.5811534,2829.675612535822,pkm,pkm / capita,1
1997,Estonia,average distance travelled,4610620454.541941,3279.255740800074,pkm,pkm / capita,1
1998,Estonia,average distance travelled,5194544299.460917,3728.8358690643263,pkm,pkm / capita,1
1999,Estonia,average distance travelled,5763025944.907476,4178.415997328579,pkm,pkm / capita,1
2000,Estonia,average distance travelled,6484979570.986953,4627.99612559283,pkm,pkm / capita,1
2001,Estonia,average distance travelled,7201289700.775561,5170.6658199606245,pkm,pkm / capita,1
2002,Estonia,average distance travelled,7904456817.42851,5713.335514328418,pkm,pkm / capita,1
2003,Estonia,average distance travelled,8603195802.946943,6256.005208696211,pkm,pkm / capita,1
2004,Estonia,average distance travelled,9288689586.311197,6798.674903064006,pkm,pkm / capita,1
2005,Estonia,average distance travelled,9975786106.2202,7341.344597431799,pkm,pkm / capita,1
2006,Estonia,average distance travelled,11197238355.938557,8289.95214032617,pkm,pkm / capita,1
2007,Estonia,average distance travelled,12469210544.816885,9285.14769667358,pkm,pkm / capita,1
2008,Estonia,average distance travelled,12570172031.816505,9391.65897000725,pkm,pkm / capita,1
2009,Estonia,average distance travelled,11462880252.0518,8581.67027419393,pkm,pkm / capita,1
2010,Estonia,average distance travelled,11731233078.91559,8798.71076728663,pkm,pkm / capita,1
2011,Estonia,average distance travelled,12599687276.19327,9475.87148308084,pkm,pkm / capita,1
2012,Estonia,average distance travelled,13105923423.091803,9889.64329848757,pkm,pkm / capita,1
2013,Estonia,average distance travelled,13471760689.444994,10204.5341670454,pkm,pkm / capita,1
2014,Estonia,average distance travelled,13760608021.793118,10457.8274229154,pkm,pkm / capita,1
2015,Estonia,average distance travelled,13750683543.568771,10457.8274229154,pkm,pkm / capita,1
2020,Estonia,average distance travelled,15371388293.728285,11652.644800583625,pkm,pkm / capita,1
2025,Estonia,average distance travelled,15090662943.39414,11448.77290374002,pkm,pkm / capita,1
2030,Estonia,average distance travelled,14648433297.204716,11177.814969097302,pkm,pkm / capita,1
2035,Estonia,average distance travelled,14103665392.706604,10855.306303406447,pkm,pkm / capita,1
2040,Estonia,average distance travelled,13521679505.28893,10493.94340698506,pkm,pkm / capita,1
2045,Estonia,average distance travelled,12913362970.984922,10112.938849951275,pkm,pkm / capita,1
2050,Estonia,average distance travelled,12273476340.322128,9720.941921776488,pkm,pkm / capita,1
1990,Estonia,average distance travelled car,6743285793.204104,4293.448418854275,pkm,pkm / capita,1
1991,Estonia,average distance travelled car,6743297676.198268,4301.261028518129,pkm,pkm / capita,1
1992,Estonia,average distance travelled car,6743324151.737535,4336.88311992165,pkm,pkm / capita,1
1993,Estonia,average distance travelled car,6743332947.321345,4461.933144658183,pkm,pkm / capita,1
1994,Estonia,average distance travelled car,6743355556.802408,4565.72424615181,pkm,pkm / capita,1
1995,Estonia,average distance travelled car,6743360039.444145,4656.7754014427055,pkm,pkm / capita,1
1996,Estonia,average distance travelled car,6744571752.068959,4732.395180487232,pkm,pkm / capita,1
1997,Estonia,average distance travelled car,6745473144.37355,4797.647464412097,pkm,pkm / capita,1
1998,Estonia,average distance travelled car,6746520863.88406,4842.9020022511795,pkm,pkm / capita,1
1999,Estonia,average distance travelled car,6747023706.271312,4891.852311293354,pkm,pkm / capita,1
2000,Estonia,average distance travelled car,6747655559.964792,4815.454458494053,pkm,pkm / capita,1
2001,Estonia,average distance travelled car,7401928635.406061,5314.728470479394,pkm,pkm / capita,1
2002,Estonia,average distance travelled car,8056529181.059927,5823.2533057657165,pkm,pkm / capita,1
2003,Estonia,average distance travelled car,8711962549.95502,6335.097368330937,pkm,pkm / capita,1
2004,Estonia,average distance travelled car,9366447347.279434,6855.5881773317,pkm,pkm / capita,1
2005,Estonia,average distance travelled car,10024516355.178104,7377.205986810983,pkm,pkm / capita,1
2006,Estonia,average distance travelled car,10065272026.505669,7451.893112094224,pkm,pkm / capita,1
2007,Estonia,average distance travelled car,10107148820.68701,7526.247893163412,pkm,pkm / capita,1
2008,Estonia,average distance travelled car,10154931462.552622,7587.139851284049,pkm,pkm / capita,1
2009,Estonia,average distance travelled car,10211234625.420849,7644.627416578712,pkm,pkm / capita,1
2010,Estonia,average distance travelled car,10259809309.806902,7695.10707333506,pkm,pkm / capita,1
2011,Estonia,average distance travelled car,10471041965.75859,7874.977036053269,pkm,pkm / capita,1
2012,Estonia,average distance travelled car,10681305174.461315,8060.042373785814,pkm,pkm / capita,1
2013,Estonia,average distance travelled car,10889741172.761087,8248.716587935445,pkm,pkm / capita,1
2014,Estonia,average distance travelled car,11097086593.42261,8433.596561094351,pkm,pkm / capita,1
2015,Estonia,average distance travelled car,11301105951.056808,8594.846601608378,pkm,pkm / capita,1
2020,Estonia,average distance travelled car,12611134496.893316,9560.16906323571,pkm,pkm / capita,1
2025,Estonia,average distance travelled car,12130295381.752544,9202.842685036838,pkm,pkm / capita,1
2030,Estonia,average distance travelled car,8989633783.47419,6859.741313823339,pkm,pkm / capita,1
2035,Estonia,average distance travelled car,5995259979.367044,4614.4304783519865,pkm,pkm / capita,1
2040,Estonia,average distance travelled car,5546296756.179908,4304.3857277441875,pkm,pkm / capita,1
2045,Estonia,average distance travelled car,5249289341.163113,4110.915354285487,pkm,pkm / capita,1
2050,Estonia,average distance travelled car,4963309365.429747,3931.0820132224712,pkm,pkm / capita,1
1990,Estonia,average distance travelled plane,179335109.6428258,114.18262054338874,pkm,pkm / capita,1
1991,Estonia,average distance travelled plane,179335109.64282584,114.39019233488642,pkm,pkm / capita,1
1992,Estonia,average distance travelled plane,179335109.6428258,115.33709374164778,pkm,pkm / capita,1
1993,Estonia,average distance travelled plane,179335109.64282584,118.6625776848361,pkm,pkm / capita,1
1994,Estonia,average distance travelled plane,179335109.64282584,121.42243596462569,pkm,pkm / capita,1
1995,Estonia,average distance travelled plane,179335109.64282584,123.84379928030374,pkm,pkm / capita,1
1996,Estonia,average distance travelled plane,179335109.6428258,125.83224550995642,pkm,pkm / capita,1
1997,Estonia,average distance travelled plane,179335109.6428258,127.55022748487607,pkm,pkm / capita,1
1998,Estonia,average distance travelled plane,179335109.64282584,128.73336925592312,pkm,pkm / capita,1
1999,Estonia,average distance travelled plane,179335109.64282584,130.0248685634346,pkm,pkm / capita,1
2000,Estonia,average distance travelled plane,179335109.64282587,127.9822370332388,pkm,pkm / capita,1
2001,Estonia,average distance travelled plane,286805626.00842166,205.9320078755397,pkm,pkm / capita,1
2002,Estonia,average distance travelled plane,394276142.3740177,284.9825027459272,pkm,pkm / capita,1
2003,Estonia,average distance travelled plane,501746658.7396136,364.85624440231067,pkm,pkm / capita,1
2004,Estonia,average distance travelled plane,609217175.1052096,445.90461123894573,pkm,pkm / capita,1
2005,Estonia,average distance travelled plane,716687691.4708056,527.4222257576669,pkm,pkm / capita,1
2006,Estonia,average distance travelled plane,687858240.0281502,509.260561211335,pkm,pkm / capita,1
2007,Estonia,average distance travelled plane,659028788.5854948,490.74314820353766,pkm,pkm / capita,1
2008,Estonia,average distance travelled plane,630199337.1428393,470.8461620564533,pkm,pkm / capita,1
2009,Estonia,average distance travelled plane,601369885.7001839,450.2147766033688,pkm,pkm / capita,1
2010,Estonia,average distance travelled plane,572540434.2575284,429.41928181980546,pkm,pkm / capita,1
2011,Estonia,average distance travelled plane,600062304.6630793,451.29003253694873,pkm,pkm / capita,1
2012,Estonia,average distance travelled plane,627584175.0686302,473.57087561405433,pkm,pkm / capita,1
2013,Estonia,average distance travelled plane,655106045.474181,496.22704694546405,pkm,pkm / capita,1
2014,Estonia,average distance travelled plane,682627915.879732,518.7855745203041,pkm,pkm / capita,1
2015,Estonia,average distance travelled plane,710149786.2852829,540.0912533446522,pkm,pkm / capita,1
2020,Estonia,average distance travelled plane,793850580.3811241,601.7972261941168,pkm,pkm / capita,1
2025,Estonia,average distance travelled plane,777163980.60714,589.6078890843311,pkm,pkm / capita,1
2030,Estonia,average distance travelled plane,752720261.20597,574.380046831116,pkm,pkm / capita,1
2035,Estonia,average distance travelled plane,722749893.0031936,556.2859902618732,pkm,pkm / capita,1
2040,Estonia,average distance travelled plane,690107858.1106653,535.580865150394,pkm,pkm / capita,1
2045,Estonia,average distance travelled plane,655917188.5611191,513.6733501145154,pkm,pkm / capita,1
2050,Estonia,average distance travelled plane,622257105.7209243,492.8453045738366,pkm,pkm / capita,1
1990,Estonia,transported goods,15.34299434217194,9.768880753248881e-06,km,km / capita,1
1991,Estonia,transported goods,15.34299434217194,9.786639533606425e-06,km,km / capita,1
1992,Estonia,transported goods,15.34299434217194,9.86765157277416e-06,km,km / capita,1
1993,Estonia,transported goods,15.34299434217194,1.0152162962802258e-05,km,km / capita,1
1994,Estonia,transported goods,15.34299434217194,1.038828231531691e-05,km,km / capita,1
1995,Estonia,transported goods,15.34299434217194,1.0595441770745258e-05,km,km / capita,1
1996,Estonia,transported goods,15.34299434217194,1.0765563055484412e-05,km,km / capita,1
1997,Estonia,transported goods,15.34299434217194,1.091254480252571e-05,km,km / capita,1
1998,Estonia,transported goods,15.34299434217194,1.1013768358444662e-05,km,km / capita,1
1999,Estonia,transported goods,15.34299434217194,1.112426243072941e-05,km,km / capita,1
2000,Estonia,transported goods,15.34299434217194,1.0949505328936264e-05,km,km / capita,1
2001,Estonia,transported goods,15.34299434217194,1.1016567825673458e-05,km,km / capita,1
2002,Estonia,transported goods,15.34299434217194,1.108990491009963e-05,km,km / capita,1
2003,Estonia,transported goods,15.34299434217194,1.1156999645264973e-05,km,km / capita,1
2004,Estonia,transported goods,15.34299434217194,1.12300050079941e-05,km,km / capita,1
2005,Estonia,transported goods,15.34299434217194,1.1291161159930779e-05,km,km / capita,1
2006,Estonia,transported goods,14.96696972667632,1.1080898590861272e-05,km,km / capita,1
2007,Estonia,transported goods,12.771589822297345,9.510313214709249e-06,km,km / capita,1
2008,Estonia,transported goods,10.095320445009472,7.542602167455748e-06,km,km / capita,1
2009,Estonia,transported goods,9.744127092996045,7.294927974752605e-06,km,km / capita,1
2010,Estonia,transported goods,10.351224951084681,7.763671032622072e-06,km,km / capita,1
2011,Estonia,transported goods,10.351224951084681,7.784866019196397e-06,km,km / capita,1
2012,Estonia,transported goods,10.351224951084681,7.810966016195597e-06,km,km / capita,1
2013,Estonia,transported goods,10.351224951084681,7.840803523690576e-06,km,km / capita,1
2014,Estonia,transported goods,10.351224951084681,7.866754432854885e-06,km,km / capita,1
2015,Estonia,transported goods,10.351224951084681,7.872432218458617e-06,km,km / capita,1
2020,Estonia,transported goods,10.35122495108468,7.846991130602203e-06,km,km / capita,1
2025,Estonia,transported goods,9.78190757877501,7.421200702371522e-06,km,km / capita,1
2030,Estonia,transported goods,9.212590206465348,7.029873203821604e-06,km,km / capita,1
2035,Estonia,transported goods,8.64327283415569,6.6525524724368225e-06,km,km / capita,1
2040,Estonia,transported goods,8.073955461846051,6.266058269905719e-06,km,km / capita,1
2045,Estonia,transported goods,8.073955461846051,6.323017330678465e-06,km,km / capita,1
2050,Estonia,transported goods,8.073955461846051,6.394802087633761e-06,km,km / capita,1
1990,Estonia,meat consumption,147645336944.25,94005.75,kcal,kcal / capita,1
1991,Estonia,meat consumption,147377420556.75,94005.75,kcal,kcal / capita,1
1992,Estonia,meat consumption,146167472548.5,94005.75,kcal,kcal / capita,1
1993,Estonia,meat consumption,122378138250.74998,80975.24999999999,kcal,kcal / capita,1
1994,Estonia,meat consumption,116388986932.0,78803.5,kcal,kcal / capita,1
1995,Estonia,meat consumption,103780277081.25,71667.75,kcal,kcal / capita,1
1996,Estonia,meat consumption,117173941769.99998,82216.24999999999,kcal,kcal / capita,1
